samples	reef	species	site	warmed	replicates	morphology	pocType	temp	salinity	Domg	pH	PO4	N.N	silicate	NO2	NH4	prok	syn	peuk	pe.peuk	Hbact
END80	Metagenome study	Acropora humilis	RedSea	FALSE	FALSE																
END62	Metagenome study	Acropora humilis	RedSea	FALSE	FALSE																
END63	Metagenome study	Acropora humilis	RedSea	FALSE	FALSE																
30-cycles	Negative control	control	control	FALSE	FALSE																
35-cycles	Negative control	control	control	FALSE	FALSE																
40-cycles	Negative control	control	control	FALSE	FALSE																
11-rep2	Mag3	Stylophora pistillata	MaggieIs	FALSE	TRUE							0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
19-rep2	Mag3	Stylophora pistillata	MaggieIs	FALSE	TRUE							0.1746	0.9085	5.9961	0.1351	0.1954	87714	192924	23809	184	1586117
55-2-rep2	Ning2	Stylophora pistillata	Ningaloo	FALSE	TRUE			24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
56-2-rep2	Ning2	Stylophora pistillata	Ningaloo	FALSE	TRUE			24.8	38.7	7.56	8.17	0.1869	0.7304	2.644	0.1227	0.0316	3308	15409	1509	0	399827
101-rep2	AM2	Stylophora pistillata	AmericanSamoa	FALSE	TRUE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
102-rep2	AM2	Stylophora pistillata	AmericanSamoa	FALSE	TRUE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
103-rep2	AM2	Stylophora pistillata	AmericanSamoa	FALSE	TRUE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
104-rep2	AM2	Stylophora pistillata	AmericanSamoa	FALSE	TRUE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
105-rep2	AM2	Stylophora pistillata	AmericanSamoa	FALSE	TRUE			28.5	39	7.74	8.25	0.2626	0.9452	0.7096	0.0977	1.6291	433	3898	341	66	97926
250-rep2	Al-Fahal	Pocillopora verrucosa	RedSea	FALSE	TRUE			26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
253-rep2	Al-Fahal	Stylophora pistillata	RedSea	FALSE	TRUE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
254-rep2	Al-Fahal	Stylophora pistillata	RedSea	FALSE	TRUE	thick		26	38.1	7.8	8.22	0.1976	0.8626	1.3561	0.076	0.1201	0	15842	1004	7	326786
MIC-85-rep2	"Woleai, Dive 1"	Stylophora pistillata	Micronesia	FALSE	TRUE																
Kap1	Kap1	seawater	Micronesia	FALSE	FALSE			30.5	34.5	6.43	7.72	0.1089	0.4122	1.0568	0.0836	0.1724	17391	54633	1004	13	549668
Kap2	Kap2	seawater	Micronesia	FALSE	FALSE			30	34.5	6.39	7.72	0.0739	0.5058	1.1238	0.0457	0.1116	36107	2842	538	20	321943
Kap3	Kap3	seawater	Micronesia	FALSE	FALSE			30.3	34.6	6.2	7.72	0.1091	0.3367	0.9584	0.0684	0.0406	65408	80620	4082	33	735656
Kap6	Kap6	seawater	Micronesia	FALSE	FALSE			30.1	34.6	6.17	7.74	0.0563	0.1914	0.9835	0.0235	0.071	85391	21486	1345	20	652043
Kos1	Kos1	seawater	Micronesia	FALSE	FALSE			30	34.4	6.31	7.33	0.1232	0.1246	1.2473	0.0224	0.0811	43063	2244	860	7	380966
Nak1	Nak1	seawater	Micronesia	FALSE	FALSE			30	34.2	6.31	7.66	0.0784	1.9946	1.2159	0.0508	0.0609	61478	702	604	39	395732
Nak2	Nak2	seawater	Micronesia	FALSE	FALSE			30.2	34.3	6.42	7.8	0.0629	2.0029	0.8349	0.0099	0.0507	53780	1680	669	33	481832
Olim2	Olim2	seawater	Micronesia	FALSE	FALSE			29.3	34.4	6.27	7.72	0.1121	0.039	1.0316	0.0094	0.0101	44513	6005	1155	7	420066
Wole1	Wole1	seawater	Micronesia	FALSE	FALSE																
Wole2	Wole2	seawater	Micronesia	FALSE	FALSE																
Yap1	Yap1	seawater	Micronesia	FALSE	FALSE																
